"group","indval","pvalue","freq","tf_bin"
"Palma",0.492332869807809,0.001,122,"X2763"
"Palma",0.492324644718206,0.001,129,"X2626"
"Palma",0.49214384103911,0.001,108,"X224"
"Palma",0.492141863076628,0.001,99,"X326"
"Palma",0.491735347453633,0.001,104,"X342"
"Palma",0.491502078685495,0.001,127,"X2623"
"Palma",0.49095703468287,0.001,111,"X213"
"Palma",0.490865063422031,0.001,110,"X337"
"Palma",0.490759557324793,0.001,122,"X2760"
"Palma",0.490725268074692,0.001,105,"X73"
"Palma",0.489793343150411,0.001,116,"X2671"
"Palma",0.489746155420332,0.001,131,"X2778"
"Palma",0.489725428164523,0.001,120,"X2894"
"Palma",0.488818865623297,0.001,94,"X595"
"Palma",0.488592275334333,0.001,125,"X2633"
"Palma",0.48837303290829,0.001,118,"X87"
"Palma",0.488298911964341,0.001,124,"X2752"
"Palma",0.487989397805106,0.001,102,"X457"
"Palma",0.487692745543042,0.001,98,"X603"
"Palma",0.487555670087739,0.001,117,"X3023"
"Palma",0.48689748906751,0.001,112,"X222"
"Palma",0.486707766608989,0.001,114,"X2887"
"Palma",0.486706411589417,0.002,119,"X3007"
"Palma",0.486453429839095,0.001,115,"X3008"
"Palma",0.486287205229235,0.001,126,"X2501"
"Palma",0.486197441229074,0.001,116,"X206"
"Palma",0.486122133569279,0.001,121,"X2528"
"Palma",0.485582853855409,0.002,100,"X453"
"Palma",0.485021298885724,0.001,114,"X2807"
"Palma",0.484850814625541,0.001,94,"X472"
"Palma",0.48480274543767,0.001,120,"X3035"
"Palma",0.484507856008328,0.001,116,"X2544"
"Palma",0.484367674809956,0.001,116,"X216"
"Palma",0.484255129972822,0.001,121,"X3029"
"Palma",0.483668883275593,0.002,118,"X2545"
"Palma",0.483236167474844,0.001,124,"X3034"
"Palma",0.482403405869429,0.001,107,"X605"
"Palma",0.482268702924612,0.001,111,"X3016"
"Palma",0.482041956725653,0.001,127,"X2773"
"Palma",0.481243095866661,0.001,138,"X2648"
"Palma",0.480735299041498,0.001,114,"X205"
"Palma",0.480562576769175,0.001,103,"X344"
"Palma",0.480530933192046,0.002,104,"X2929"
"Palma",0.480265883917338,0.002,107,"X321"
"Palma",0.479536308772199,0.002,123,"X2625"
"Palma",0.47942884074101,0.001,96,"X580"
"Palma",0.479428720119072,0.001,90,"X576"
"Palma",0.479181719023378,0.001,147,"X809"
"Palma",0.479163845128547,0.001,114,"X72"
"Palma",0.478034693353783,0.001,128,"X2646"
"Palma",0.477735184390223,0.001,123,"X2629"
"Palma",0.477559946658867,0.001,101,"X330"
"Palma",0.477355434290493,0.001,127,"X2497"
